Airports,Periods,CrossCountryFlights,LocalFlights,TotalCommercialFlights,ScheduledFlights,TotalPassengers,TotalCargo,TotalMail
Total Dutch airports,2019,2883299,521377,2613807,2525457,309013975,11519375,94151
Groningen Airport Eelde,2019,"10,963","20,954","3,390","2,133","176,022",0,0
Amsterdam Airport Schiphol,2019,"509,725","6,059","496,827","489,588","71,679,729","1,570,246","21,959"
Maastricht Aachen Airport,2019,"11,404","2,681","7,199","5,784","435,977","111,457",0
Rotterdam The Hague Airport,2019,"30,100","22,245","18,406","15,374","2,094,798",0,0
Eindhoven Airport,2019,"41,441",0,"40,209","39,182","6,780,775",0,0
Groningen Airport Eelde,2020,"8,126","31,258",612,320,"17,528",0,0
Maastricht Aachen Airport,2020,"8,962","2,690","6,127","4,597","81,080","135,985",0
Eindhoven Airport,2020,"18,821",1,"17,875","17,248","2,112,785",0,0
Rotterdam The Hague Airport,2020,"16,119","22,459","6,337","4,916","489,841",0,0
Amsterdam Airport Schiphol,2020,"236,154","5,247","227,275","221,649","20,884,510","1,441,597","14,831"
Total Dutch airports,2020,"288,182","61,655","258,226","248,730","23,585,744","1,577,582","14,831"
Eindhoven Airport,2021,"21,706",0,"20,524","19,550","2,698,424",0,0
Amsterdam Airport Schiphol,2021,"280,339","5,243","266,956","261,054","25,490,810","1,667,304","13,550"
Maastricht Aachen Airport,2021,"9,990","2,912","6,601","5,188","97,646","127,994",0
Total Dutch airports,2021,"340,288","84,000","303,062","291,454","29,069,535","1,795,298","13,550"
Groningen Airport Eelde,2021,"8,982","48,018",674,0,"27,260",0,0
Rotterdam The Hague Airport,2021,"19,271","27,827","8,307","5,662","755,395",0,0
Total Dutch airports,2022,"511,363","89,064","462,600","446,514","61,268,058","1,545,956","7,715"
Amsterdam Airport Schiphol,2022,"416,464","5,832","397,636","389,638","52,470,880","1,437,738","7,715"
Rotterdam The Hague Airport,2022,"32,299","27,021","18,383","14,295","2,113,342",0,0
Eindhoven Airport,2022,"40,256",0,"38,979","37,768","6,330,599",0,0
Maastricht Aachen Airport,2022,"10,909","2,925","6,409","4,813","266,032","108,218",0
Groningen Airport Eelde,2022,"11,435","53,286","1,193",0,"87,205",0,0
